timestamp,title,price,original_price,shipping,item_url
2025-10-31 11:06:05,Vera Bradley Women's Outlet Ultralight Essential Cord Organizer NWT,$23.70,$59.00,None | None,https://www.ebay.com/itm/365930191727?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006427
2025-10-31 11:06:05,Vera Bradley Women's Outlet Ultralight Laptop Workstation Crossbody Bag NWT,$41.70,$119.00,None | None,https://www.ebay.com/itm/365930191290?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006427
2025-10-31 11:06:05,Apple Watch Series 10 46mm GPS + WiFi + Cellular Unlocked Aluminum - Excellent,$284.79,$599.99,None | None,https://www.ebay.com/itm/316169970498?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006411
2025-10-31 11:06:05,Apple iPhone 15 A2846 256GB Unlocked Very Good Condition,$472.99,$949.99,None | None,https://www.ebay.com/itm/357341402304?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006411
2025-10-31 11:06:05,Apple Watch Ultra 2 49mm Gps + Cellular - Band 64GB - Excellent,$499.00,,None | None,https://www.ebay.com/itm/167087869217?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006411
2025-10-31 11:06:05,Apple iPhone 15 Pro Max A2849 256GB Unlocked Very Good,$624.99,,None | None,https://www.ebay.com/itm/356227859677?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006411
2025-10-31 11:06:05,"Refurbished HUION Kamvas 13 (Gen 3) 13.3"" Graphic Tablet Pen Display PenTech4.0",$189.00,,None | None,https://www.ebay.com/itm/335778622198?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006405
2025-10-31 11:06:05,Huion KAMVAS 22 Graphics Drawing Tablet with Screen OTG Certified Refurbished,$298.90,$449.00,None | None,https://www.ebay.com/itm/234028480288?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006405
2025-10-31 11:06:05,Refurbished HUION KAMVAS PRO 16 Graphic Drawing Monitor Pen Display+Touch Bar,$234.50,$379.00,None | None,https://www.ebay.com/itm/336080166779?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006405
2025-10-31 11:06:05,XP-Pen Artist 24 Pro Gen2 4K Graphics Drawing Tablet Full Lamination 16384 △E ＜1,$883.99,"$1,299.99",None | None,https://www.ebay.com/itm/396360742557?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006405
2025-10-31 11:29:38,"Bose Ultra Open Earbuds, Certified Refurbished",$149.00,$299.00,None | None,https://www.ebay.com/itm/186628375702?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006400
2025-10-31 11:29:40,NEW Sony ULT WEAR Wireless Noise Canceling Headphones Forest Gray FREE SHIPPING,"$111.99
See all trending deals",$128.79,None | None,https://www.ebay.com/itm/297484426125?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006400
2025-10-31 11:29:40,Apple iPhone 15 Pro Max A2849 256GB Unlocked Very Good,"$624.99
See all trending deals",,None | None,https://www.ebay.com/itm/356227859677?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006400
2025-10-31 11:29:40,"Acer CB272E 27"" Monitor Full HD 1920x1080 100Hz 1ms 250Nit Certified Refurbished","$82.79
See all trending deals",$139.99,None | None,https://www.ebay.com/itm/266600046936?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006400
2025-10-31 11:29:40,Apple iPhone 15 Pro Max A2849 512GB Unlocked Very Good Condition,"$652.99
See all trending deals",,None | None,https://www.ebay.com/itm/357482464547?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006400
2025-10-31 11:29:41,Samsung Galaxy Buds2 Pro R510 - Good,"$35.99
See all trending deals",$230.00,None | None,https://www.ebay.com/itm/256411723549?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006400
2025-10-31 11:29:41,Skullcandy CRUSHER ANC 2 Wireless Headphones w/ SENSORY BASS (Cert Refurb)-BLACK,"$82.99
See all trending deals",$249.99,None | None,https://www.ebay.com/itm/266566905592?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006400
2025-10-31 11:29:41,Samsung Galaxy S21 5G SM-G991U1 128GB Unlocked Excellent,"$153.49
See all trending deals",$999.99,None | None,https://www.ebay.com/itm/354341990110?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006400
2025-10-31 11:29:41,Insignia 50” Class F50 Series LED 4K UHD Smart Fire TV,"$168.00
See all trending deals",,None | None,https://www.ebay.com/itm/388716591242?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006400
